articulationpoint	averagebetweenness	averagecloseness	averagenodeconnectivity	averageeccentricity	averagepathlength	clusteringcoefficient	cohesiveness	compactness	globalefficiency	networkcentralization	networkdensity	networkdiameter	networkheterogeneity
DLG4	2	7310.92874669688	4.03685070038486e-05	27.1240090600227	4.22838807097018	2.38033203368785	0.0316812705264731	0.999999652060273	28.3195524016947	0.439770171221717	0.773371967054269	0.00256007636243725	6	3.67075046496128
ARHGAP5	1	7312.96460928647	4.03627365551323e-05	27.1313703284258	4.22885994714987	2.38045580165862	0.0316830300683358	0.999999652154676	28.3463616809192	0.439834087767291	0.773371272267256	0.00256077114945029	6	3.66993337209513
ERBB2	1	7313.24575311433	4.03619684384357e-05	27.0992827482069	4.22885994714987	2.38050887269738	0.0316491520755101	0.999999651742801	28.3155262668149	0.439825280005764	0.773374300826031	0.0025577425906755	6	3.67352605837449
TXNIP	1	7313.00169875422	4.03626258984614e-05	27.1292940732352	4.22885994714987	2.3804628029739	0.0316834686555388	0.999999652128055	28.3448354803478	0.439832855559558	0.773371468232823	0.00256057518388251	6	3.67010161891235
DAB2	1	7313.03350320878	4.03625328121491e-05	27.1209890524726	4.22885994714987	2.3804688066463	0.0316769240552073	0.999999652021529	28.3486098453581	0.439831678875398	0.773372252095095	0.00255979132161139	6	3.67113114440279
DGCR2	1	7312.10315213288	4.03653421655561e-05	27.1325028312571	4.22876557191393	2.38029318586746	0.0316785019079791	0.999999652169195	28.3428309831617	0.439859516081123	0.77346554952041	0.00256087803975999	6	3.67008644519072
SYK	2	7310.92346168367	4.03685169365015e-05	27.1179690449226	4.22838807097018	2.38033103585662	0.0316647896398785	0.999999651982776	28.3116499253913	0.439770023059878	0.77337253713592	0.00255950628078552	6	3.67144586981877
HNRNPK	1	7313.1766704417	4.03621224595529e-05	27.0926764816912	4.22885994714987	2.3804958320796	0.0315276916761987	0.999999651657882	28.1703473040186	0.43982675034136	0.773374924352837	0.00255711906386892	6	3.673252149893
EZH2	1	7313.40864477158	4.03615197907351e-05	27.0851264628162	4.22885994714987	2.38053962147647	0.0316117657923822	0.999999651560781	28.2496506931297	0.439820295948145	0.773375636954902	0.00255640646180426	6	3.6746419763891
VAV1	1	7313.01085315211	4.03626020323319e-05	27.1209890524726	4.22885994714987	2.38046453103391	0.0316706441390404	0.999999652021529	28.328588256053	0.43983238435144	0.773372252095095	0.00255979132161139	6	3.67116354596207
SIAH2	1	7313.00953189882	4.03626075131689e-05	27.1215553038883	4.22885994714987	2.38046428162319	0.0316797270741188	0.999999652028794	28.3449802281042	0.439832464222253	0.77337219864994	0.00255984476676624	6	3.67118603115778
ARHGDIB	1	7312.99650811629	4.03626421568917e-05	27.1309928274821	4.22885994714987	2.38046182314606	0.0316839785172946	0.999999652149836	28.3489704318129	0.439833072309352	0.773371307897359	0.00256073551934706	6	3.66992268225103
FAM175B	1	7313.0012268781	4.03626275592564e-05	27.1298603246508	4.22885994714987	2.38046271389864	0.0316829369154483	0.999999652135315	28.3445970115085	0.439832889705073	0.773371414787669	0.00256062862903736	6	3.67003589136087
ACBD3	1	7313.00047187614	4.03626297319798e-05	27.1291053227633	4.22885994714987	2.38046257137823	0.0316828347238316	0.999999652125634	28.3442154613657	0.43983289118966	0.773371486047875	0.00256055736883089	6	3.67012534565447
SF3A2	1	7313.03312570785	4.03625245493445e-05	27.1081540203851	4.22885994714987	2.38046873538609	0.0316145607839034	0.99999965185677	28.2655528058707	0.439831222513158	0.773373463518604	0.00255857989810147	6	3.67241412276608
ACOX3	1	7312.95819177047	4.0362754595739e-05	27.1325028312571	4.22885994714987	2.38045459023511	0.0316829333444069	0.999999652169195	28.3454390240413	0.439834298578735	0.773371165376946	0.00256087803975999	6	3.66980479990297
RNF111	1	7313.00000000002	4.03626299245256e-05	27.1241978104945	4.22885994714987	2.38046248230297	0.0316784366730636	0.999999652062694	28.3352170574798	0.439832773907235	0.773371949239217	0.00256009417748886	6	3.6706739216718
LAPTM5	1	7312.97074367684	4.03627168070905e-05	27.1279728199321	4.22885994714987	2.38045695963697	0.0316822225837756	0.999999652111112	28.353139863843	0.439833771550125	0.773371592938185	0.00256045047852119	6	3.67038396798457
SNRNP70	1	7313.06285390715	4.03624410482775e-05	27.1140052850132	4.22885994714987	2.38047434712735	0.0316356485779187	0.9999996519319	28.2941454269645	0.439830534555248	0.773372911252004	0.00255913216470158	6	3.6713967690048
ZFYVE9	1	7312.99414873538	4.03626525845244e-05	27.1251415628539	4.22885994714987	2.38046137776977	0.0316808895323471	0.9999996520748	28.3590629488764	0.439833035194659	0.773371860163959	0.00256018325274695	6	3.67072551563963
