Interactor_A	Interactor_B
DLG4	ERBB2
ARHGAP5	SMURF2
ERBB2	ERRFI1
ERBB2	PICK1
TXNIP	SMURF2
DAB2	SMURF2
DGCR2	SMURF2
SYK	VAV1
HNRNPK	VAV1
EZH2	VAV1
VAV1	ZYX
SIAH2	VAV1
ARHGDIB	VAV1
FAM175B	SMURF2
ACBD3	SMURF2
SF3A2	SMURF2
ACOX3	SMURF2
RNF111	SMURF2
LAPTM5	SMURF2
SNRNP70	SMURF2
ZFYVE9	NUP155
ZFYVE9	SUMF2
ETS2	ZFYVE9
SMAD7	ZNF107
SMAD7	ZBTB44
SMAD7	TTF2
SMAD7	ASH1L
SMAD7	ZBTB11
SMAD7	SOX13
GRB10	KIT
KIT	MPDZ
NOTCH4	MAML1
PIM1	SND1
PIM1	CBX3
RAB8A	OPTN
FLT1	PLCG2
FLT1	SHC1
ATR	FLT1
ERG	SETDB1
SMAD7	TTF1
ARAF	RRAS
NCK1	RRAS
RALGDS	RRAS
RRAS	RASIP1
CBL	LYN
ZFYVE9	UBXN11
LYN	PPP1R15A
JUN	TPM1
RUNX2	JUN
JUN	TDG
JUN	MAPK3
HHEX	JUN
TBCB	USP7
JUN	UBE2I
JUN	BATF
JUN	TPM2
RNPEP	ZFYVE9
FHL2	ZFYVE9
EIF4G1	ZFYVE9
ZFYVE9	ZMYND8
ZFYVE9	CHD6
RBBP6	ZFYVE9
ZFYVE9	RHOT2
SMAD5	SF3B1
JUNB	BATF
JUND	BATF
SMAD4	SMAD5
SMAD1	SMAD5
SMAD5	MTMR10
SMAD5	PNKP
SMAD5	SFPQ
SMAD4	SKIL
SMAD2	SKIL
SMAD3	SKIL
SKIL	CPNE2
CBL	SH3KBP1
CBL	SPRY2
CBL	SORBS1
SMAD5	SNRPA
SERPINA3	DNAJC1
RHOB	PDE6D
RHOB	RHPN2
RHOC	RTKN
RHOC	CIT
ATN1	PSMA3
RHOA	KTN1
ATN1	GIGYF1
RHOA	ROCK1
RHOA	RTKN
RHOA	PDE6D
RHOA	RABAC1
RHOA	CIT
RHOA	RAP1GDS1
RHOA	CNKSR1
SMAD5	PSMD11
SMAD5	U2AF2
GRN	SLPI
NBR1	TTN
NBR1	CIB1
OSBP	VAPA
SMAD5	RBM4
ATN1	SIAH1
BCAT1	SMAD5
SMAD5	PPIL4
SMAD5	SNRNP70
SMAD5	WWP1
ZFYVE9	SPG20
CCND1	TAF1
PAM	KALRN
PAM	UHMK1
PEX10	PEX2
ABCD1	ABCD3
PEX19	ABCD3
PPARA	NCOR1
DUT	PPARA
PPARA	NRIP1
PPARA	NCOA1
EP300	PPARA
PPARA	NR1H3
PPARA	NRBF2
PPARA	MECR
ZFYVE9	SCYL2
SLC9A1	MAP4K4
CDKN2A	NCL
ERBB3	PIK3R1
PIK3R1	TEK
PIK3R1	TYRO3
PIK3CA	PIK3R3
PGD	NAA38
PLCG1	SOS2
FLNC	FURIN
PLCG1	TRPM7
JUP	ZFYVE9
NIT1	ZFYVE9
SMAD1	ZBTB44
SMAD1	TTF2
UBE2I	SNIP1
FAF1	SNIP1
PIAS2	SNIP1
LAPTM5	HERC1
SMAD4	TDG
TDG	SNIP1
PRMT1	IFNAR1
ZMYM5	SNIP1
SETDB1	SNIP1
SNIP1	HIPK1
CDH5	JUP
SMAD4	PRPF40A
FLNC	INPPL1
SNRNP70	PRPF40A
TFAP2A	TP53
PDGFRB	SNX1
PDGFRB	SNX2
EP300	TFAP2A
TFAP2A	CITED2
SMAD1	SF3B1
PVR	AP1M2
PARP1	RPS3A
PARP1	XRCC1
SF3B1	SNIP1
PARP1	ZNF423
CDKN2A	RPS7
SMAD4	RFX1
SMAD1	RFX1
PKD1	PKD2
PKD2	CD2AP
PKD2	HAX1
APC	PPP2R5A
APC	SIAH1
APC	MAPRE1
APC	AXIN1
APC	AXIN2
FLNC	MAP2K4
ATN1	SIAH2
PFN2	VASP
PFN2	FHOD1
SMAD4	ATF7IP
RRBP1	ATF7IP
PFN1	RHOQ
PFN1	APBB1IP
KRT7	ATF7IP
PHB	RB1
COL4A2	ATF7IP
PCNA	XRCC1
FEN1	PCNA
PCNA	SUB1
PCNA	CHAF1A
CDC6	PCNA
HUS1	PCNA
PCNA	POLH
GADD45B	PCNA
PCNA	GADD45G
PCNA	POLB
FLNC	SGCD
MCL1	PCNA
PCNA	POLD3
PCNA	POLDIP2
PRDX1	PRDX4
PSMA3	XRN2
PPP2R5A	EIF2AK2
EIF2AK2	TARBP2
MAPK1	MAP2K1
GRB10	MAP2K1
APOD	LEPR
PTPN11	TEK
GAB1	PTPN11
PTPRB	MAGI3
PTPN6	PILRB
SMAD4	PSMD11
DNAJB2	SMAD4
PIK3R1	PTPN6
PTPRA	PTPRM
PTPRA	PTPRF
SMAD4	DCP1B
ATN1	TEP1
SMAD4	HMG20A
SMAD4	XPO5
DLG4	PTPRG
ATN1	TRIP6
PTPRM	GNB2L1
PRKAR2A	RAB32
